dia;fecha;mes;dia;hora;remitente;tiempo_respuesta;minutos
Wednesday;30/10/2024;octubre;30;12:01:57;Mama;0,001666667;2,40
Thursday;31/10/2024;octubre;31;14:58:18;Mama;0,012592593;18,13
Thursday;31/10/2024;octubre;31;20:01:26;Mama;0,005358796;7,72
Saturday;2/11/2024;noviembre;2;19:58:51;Mama;0,00087963;1,27
Sunday;3/11/2024;noviembre;3;10:36:23;Mama;0,004965278;7,15
Monday;4/11/2024;noviembre;4;10:48:09;Mama;0,000127315;0,18
Wednesday;6/11/2024;noviembre;6;20:54:33;Mama;0,000208333;0,30
Thursday;7/11/2024;noviembre;7;12:26:15;Mama;0,000706019;1,02
Sunday;10/11/2024;noviembre;10;10:42:58;Mama;0,0003125;0,45
Monday;11/11/2024;noviembre;11;19:04:06;Mama;0,000277778;0,40
Tuesday;12/11/2024;noviembre;12;11:01:15;Mama;0,005300926;7,63
Friday;15/11/2024;noviembre;15;18:29:11;Mama;0,00587963;8,47
Saturday;16/11/2024;noviembre;16;10:50:01;Mama;0,000300926;0,43
Tuesday;2/1/2024;enero;2;19:56:11;Athina Corpus;0,000613426;0,88
Friday;16/2/2024;febrero;16;20:03:24;Athina Corpus;0,006631944;9,55
Wednesday;3/4/2024;abril;3;19:43:18;Athina Corpus;0,090277778;130,00
Saturday;18/5/2024;mayo;18;17:25:33;Athina Corpus;0,000162037;0,23
Saturday;18/5/2024;mayo;18;21:48:29;Athina Corpus;0,000173611;0,25
Sunday;19/5/2024;mayo;19;05:51:15;Athina Corpus;0,224861111;323,80
Friday;26/7/2024;julio;26;15:44:03;Athina Corpus;0,02056713;29,62
Saturday;10/8/2024;agosto;10;00:29:10;Athina Corpus;0,000486111;0,70
Saturday;10/8/2024;agosto;10;01:17:17;Athina Corpus;0,391469907;563,72
Tuesday;13/8/2024;agosto;13;19:12:45;Athina Corpus;0,003206019;4,62
Thursday;22/8/2024;agosto;22;11:37:21;Athina Corpus;0,000891204;1,28
Saturday;24/8/2024;agosto;24;16:29:05;Athina Corpus;0,000509259;0,73
Sunday;25/8/2024;agosto;25;12:10:26;Athina Corpus;0,000277778;0,40
Saturday;31/8/2024;agosto;31;10:56:42;Athina Corpus;0,00474537;6,83
Wednesday;11/9/2024;septiembre;11;13:00:08;Athina Corpus;0,000219907;0,32
Monday;16/9/2024;septiembre;16;22:13:48;Athina Corpus;0,03462963;49,87
Friday;20/9/2024;septiembre;20;16:29:29;Athina Corpus;0,006608796;9,52
Friday;20/9/2024;septiembre;20;17:45:05;Athina Corpus;0,001944444;2,80
Saturday;21/9/2024;septiembre;21;11:35:12;Athina Corpus;0,004675926;6,73
Friday;25/10/2024;octubre;25;12:27:57;Athina Corpus;0,069664352;100,32
Thursday;31/10/2024;octubre;31;17:08:53;Athina Corpus;0,015648148;22,53
Thursday;4/1/2024;enero;4;16:57:24;Papa;0,001296296;1,87
Monday;22/1/2024;enero;22;10:09:04;Papa;0,000925926;1,33
Friday;26/1/2024;enero;26;13:44:21;Papa;0,005474537;7,88
Monday;29/1/2024;enero;29;15:07:32;Papa;0,003518519;5,07
Wednesday;31/1/2024;enero;31;10:41:26;Papa;0,016331019;23,52
Wednesday;31/1/2024;enero;31;15:32:57;Papa;0,001006944;1,45
